Name1, Name2, Address, Phone_Number, email, Website, Head_Master
Island Christian Academy,Island Christian Academy,香港必列者士街70號,25372552,office@islandca.edu.hk,http://www.islandca.edu.hk,Ms Middleton Deborah Ruth
三水同鄉會禤景榮學校,Sam Shui Natives Association Huen King Wing School,新界大埔富善邨,26619383,ssnahkws@eservices.hkedcity.net,http://ssnahkws.edu.hk,李小寶女士
上水宣道小學,Alliance Primary School, Sheung Shui,新界粉嶺聯和墟和睦路2號,26702257,apsmail@apsss.edu.hk,http://www.apsss.edu.hk,尹素嫻女士
上水惠州公立學校,Wai Chow Public School (Sheung Shui),新界上水天平路51號,26731183,admin@waichow.edu.hk,http://www.waichow.edu.hk,黃永強先生
世界龍岡學校劉德容紀念小學,LKWFSL Lau Tak Yung Memorial Primary School,新界屯門湖翠路263號,24045333,office@ltyschool.edu.hk,http://www.ltyschool.edu.hk,蘇威鳴先生
世界龍岡學校黃耀南小學,LKWFSL Wong Yiu Nam Primary School,新界沙田廣源邨,26378637,mail@wynps.edu.hk,http://www.wynps.edu.hk,羅夔夔博士
中華傳道會呂明才小學,CNEC Lui Ming Choi Primary School,新界青衣長發邨,24977557,cneclmc@hotmail.com,http://www.cneclmc.edu.hk,馬俊江先生
中華傳道會許大同學校,CNEC Ta Tung School,新界葵涌葵興邨第一座校舍,24219159,info@cnectt.edu.hk,http://www.cnectt.edu.hk,王少超先生
中華基督教會何福堂小學,CCC Hoh Fuk Tong Primary School,新界屯門龍門路41號,24597156,info@hft.edu.hk,http://www.hft.edu.hk,周任玲女士
中華基督教會元朗真光小學,CCC Chun Kwong Primary School,新界元朗鐘聲徑五號,24762696,ccc.ckps@yahoo.com.hk,http://www.ckps.edu.hk,何妙玲女士
中華基督教會全完第一小學,CCC Chuen Yuen First Primary School,新界荃灣大屋街6-8號,24900336,chuenyuen@chuenyuenfirst.edu.hk,http://www.chuenyuenfirst.edu.hk,譚光德先生
中華基督教會全完第二小學,CCC Chuen Yuen Second Primary School,新界荃灣大窩口上角街3號,24201220,chuenyuen2@hkcccc.org,http://www.chuenyuen2.edu.hk,李德衡先生
中華基督教會協和小學,CCC Heep Woh Primary School,九龍太子道西191B,23814343,heepwohp@netvigator.com,http://www.heepwoh.edu.hk,簡燕玲女士
中華基督教會協和小學(長沙灣),CCC Heep Woh Primary School (Cheung Sha Wan),九龍深水埗東京街18號,21119099,heepwoha@netvigator.com,http://www.heepwohcsw.edu.hk,蔡世鴻先生
中華基督教會基全小學,CCC Kei Tsun Primary School,九龍大角咀道150號,23928221,kts-mail@cccktps.edu.hk,http://www.cccktps.edu.hk,李寶文先生
中華基督教會基慈小學,CCC Kei Tsz Primary School,九龍慈雲山道152號,23225122,info@keitsz.edu.hk,http://www.keitsz.edu.hk,趙潔華女士
